PATH,substrate,ID_local,E_tot_SR,target_MAE,Feature_PT6_div3000,target_top_p_y:z,target_top_p_y:x,target_top_p_z:x,target_top_d_xy:yz,target_top_d_xy:z2-r2,target_top_d_xy:xz,target_top_d_xy:x2-y2,target_top_d_yz:z2-r2,target_top_d_yz:xz,target_top_d_yz:x2-y2,target_top_d_z2-r2:xz,target_top_d_z2-r2:x2-y2,target_top_d_xz:x2-y2,target_bottom_p_y:z,target_bottom_p_y:x,target_bottom_p_z:x,target_bottom_d_xy:yz,target_bottom_d_xy:z2-r2,target_bottom_d_xy:xz,target_bottom_d_xy:x2-y2,target_bottom_d_yz:z2-r2,target_bottom_d_yz:xz,target_bottom_d_yz:x2-y2,target_bottom_d_z2-r2:xz,target_bottom_d_z2-r2:x2-y2,target_bottom_d_xz:x2-y2,target_ecos_top,target_ecos_bottom
06_NCL_OsPt_Ir/,implicit,48,-428.9264,58.4299999999871,0.898898816666667,-0.0012215,-0.0004248999999999,-0.0006874999999999,0.0049401999999999,0.0,0.0233506,0.0118961999999999,0.0198231,-0.0080858,0.0184623,0.0105571,0.0,0.0074144,0.0002489,0.0001054,0.0003195999999999,-0.0013864999999999,0.0,-0.007934,-0.0046752999999999,-0.0149468999999999,-0.0029052999999999,-0.0094774,0.0026424,0.0,0.0020301,0.1720485,-0.0719576
06_NCL_OsPt_Ir/,implicit,49,-428.97141,79.1699999999764,0.720731143333333,-0.0012055999999999,1.1800000000001046e-05,-0.0008837999999999,0.0044731999999999,0.0,0.0209046,0.0230681999999999,0.0195356,-0.0087697,0.0255221,0.0068625999999999,0.0,0.0070621,0.0006635,0.0005514999999999,0.0003416,0.0016278,0.0,-0.0051194999999999,-0.0089401999999999,-0.0191416999999999,0.0004264,-0.0091558,0.0029753,0.0,0.0018388,0.193162,-0.0678642999999999
06_NCL_OsPt_Ir/,implicit,50,-428.93998,73.8999999999805,0.718032956666667,-0.0003639999999999,0.0001973999999999,-0.0013030999999999,0.0262827,0.0,0.0015112999999999,0.0271429999999999,-0.0024331,-0.0086938,0.0036018,0.0195455,0.0,0.0226287,0.0004726999999999,0.0004063,0.0006251999999999,-0.0097236999999999,0.0,0.0058414999999999,-0.0072054999999999,-0.002034,0.0043068,0.0038392,-0.0141596,0.0,-0.0088996,0.1762331,-0.0530607999999999
06_NCL_OsPt_Ir/,implicit,51,-428.99109,72.7200000000039,1.07694750333333,-0.0014501,-0.0001732,-0.0009519,0.0064465999999999,0.0,0.0175657999999999,0.0169749999999999,0.0144815,-0.0060431999999999,0.0220368,0.0076977,0.0,0.0117393999999999,0.0005852999999999,0.0001052999999999,0.0002461999999999,0.0012285999999999,0.0,-0.0059349,-0.0046272,-0.0065751,-0.0029809999999999,-0.0081135999999999,-0.0019842999999999,0.0,-0.0018840999999999,0.1766487,-0.05987
06_NCL_OsPt_Ir/,implicit,52,-428.96649,51.7899999999827,1.04759811,-0.0016945,-0.0003392999999999,-0.0006173999999999,0.0048867,0.0,0.0195636,0.0079329999999999,0.0227697999999999,-0.0069958999999999,0.016376,0.0086971,0.0,0.0096563,0.0006864999999999,-1.2700000000000903e-05,0.0002688,0.0031912,0.0,-0.0075794,-0.0056326999999999,-0.0110788999999999,-0.0041194,-0.0090856,0.0013905,0.0,-0.001473,0.1604706999999999,-0.0668890999999999
06_NCL_OsPt_Ir/,implicit,53,-428.68328,9.70999999998412,0.625686415833333,0.0011642,0.0012437,0.0014618,0.004022,0.0,0.0120023,-0.0025699,-0.0132146999999999,-0.0073823,0.0053228999999999,0.0218101,0.0,0.0114977999999999,-0.000942,-0.0007831999999999,-0.0018057999999999,-0.0042071999999999,0.0,0.0002611999999999,0.0102804,-0.0042762,0.0007287999999999,-0.0012734999999999,-0.0036056,0.0,-0.0013183,0.0707160999999999,-0.0138827
06_NCL_OsPt_Ir/,implicit,54,-428.7402,4.87999999995736,0.591945546,0.0006817999999999,0.0008168999999999,0.0004455999999999,0.0080129,0.0,-0.0014926999999999,-0.0079692999999999,0.0024408,-0.0009575,0.0059128999999999,0.0100006,0.0,0.0050852,-0.0010454999999999,-0.0011878999999999,-0.0020493,-0.0027887,0.0,-0.0016974,0.0080120999999999,0.0018747,0.0001498999999999,-0.0020409,-0.0125055999999999,0.0,-0.0030285,0.0459542,-0.0326144
06_NCL_OsPt_Ir/,implicit,55,-430.02978,38.5599999999613,0.392929950566667,0.0016973999999999,-0.0005627,0.0010147999999999,0.0123320999999999,0.0,0.0033159,-0.016472,-0.0013658999999999,-0.0014225999999999,0.0005881999999999,0.0044483999999999,0.0,0.0119150999999999,0.0006716,0.0008544,0.0009177999999999,-0.0014101999999999,0.0,-0.0006372,0.0096751,0.0002015,-0.0001675,-0.0001423999999999,0.0009974,0.0,-0.0027646999999999,0.0309778,0.0163919
06_NCL_OsPt_Ir/,implicit,56,-428.69796,5.32999999995809,0.85191305,0.0005107999999999,0.0004356999999999,-6.499999999999562e-06,0.0169317,0.0,-0.0005148999999999,-0.0063664999999999,0.0022749999999999,-0.0004904999999999,-0.0047779,0.0017488999999999,0.0,0.001929,-3.300000000000178e-05,-0.0002342999999999,-0.0016357,-0.0086361999999999,0.0,0.0008080999999999,0.0119298999999999,0.0034737,0.0011973,0.0020948,-0.0114218999999999,0.0,-0.0039495,0.0233499,-0.0128136
06_NCL_OsPt_Ir/,implicit,57,-428.37192,63.2100000000264,1.21212257333333,-0.0013032999999999,-0.0004315999999999,-0.0013997999999999,0.0189298,0.0,0.000936,0.0347543,-0.0015213,-0.0102537,0.0067484999999999,0.0226345,0.0,0.021055,0.0003684,0.0002801999999999,0.0004498999999999,-0.0065867,0.0,0.0018928,-0.0052784,0.0049437999999999,-0.0037864999999999,0.0020339999999999,-0.0120053,0.0,-0.0051499999999999,0.1802968999999999,-0.0456754999999999
06_NCL_OsPt_Ir/,implicit,58,-428.75237,-19.4500000000062,1.13047072,-0.0010372,-0.0009762999999999,-0.0011308,0.0001404999999999,0.0,0.0130033,0.0025605999999999,0.0177362,-0.0118782,0.0107044,0.0036496,0.0,0.0076632,-0.0012998,-0.0005014,-0.0002868999999999,-0.0010717,0.0,-0.0085338999999999,-0.0080582999999999,-0.0080785999999999,-0.007331,-0.0077804,0.0067516999999999,0.0,-0.0017137999999999,0.0808705,-0.0758084000000001
06_NCL_OsPt_Ir/,implicit,59,-428.75336,-36.0599999999636,1.03185925333333,-0.0008954999999999,-0.0010003,-0.0010932,0.0097679,0.0,0.0109399999999999,-0.0024008999999999,0.0116195999999999,-0.0165389,0.0087919999999999,0.0007544,0.0,0.0114575999999999,-0.0009023999999999,-0.0009534,-0.0003596,-0.0035996999999999,0.0,-0.0048647999999999,-0.0092015999999999,-0.004713,-0.009293,-0.0053456999999999,0.0054120999999999,0.0,-0.0048167999999999,0.0628048999999999,-0.0772755
06_NCL_OsPt_Ir/,implicit,60,-428.72197,-52.6399999999967,0.806270823333333,-0.0008159999999999,-0.0010084,-0.0010282,0.017866,0.0,0.0036339,0.0023931,0.0100779999999999,-0.0206745,-0.0009474,0.0032616,0.0,0.0089500999999999,-0.0008219,-0.0016058,-0.0003575999999999,-0.0092436999999999,0.0,-0.001852,-0.0102171,-0.0016724,-0.0083759,0.0003168,0.0008823,0.0,-0.0062203,0.0434156999999999,-0.0783348
06_NCL_OsPt_Ir/,implicit,61,-428.74633,-14.3699999999853,0.954197473333333,-0.0007733999999999,-0.0010561999999999,-0.0007847,0.0007902,0.0,0.0175325,0.0019163999999999,0.0119806,-0.0170913999999999,0.0162751999999999,-0.0058086,0.0,0.0113112999999999,-0.0008879,-0.0007061,-0.0007227999999999,0.0039538,0.0,-0.0084207999999999,-0.0109954,-0.0083473999999999,-0.0081065999999999,-0.009617,0.0100080999999999,0.0,0.0001144,0.0685839,-0.0674553999999999
06_NCL_OsPt_Ir/,implicit,62,-428.74808,10.1400000000353,0.896098653333333,-0.0008043,-0.0010592,-0.0011999,0.0011457999999999,0.0,0.0081986,1.4500000000000624e-05,0.0071116999999999,-0.0075183,0.0121987,0.0144671,0.0,0.0137942999999999,-0.0008586,-0.0005617,-0.0003687,-0.0030329,0.0,-0.0029693999999999,-0.0015358,-0.0026575,-0.0084602,-0.0040796,-0.0004614999999999,0.0,-0.0073191,0.0926979999999999,-0.0646103
06_NCL_OsPt_Ir/,implicit,63,-428.34065,48.7400000000093,0.9468403,-0.0009366,-0.0007217999999999,-0.0014282,0.0261429,0.0,0.0072301,0.0215389,0.0016960999999999,-0.0074011,0.0069102999999999,0.0167561,0.0,0.0087382,0.000203,3.0199999999999325e-05,0.0001444999999999,-0.0081603,0.0,-0.0003777,-0.0002780999999999,0.0030409,-0.0065653999999999,0.0011984999999999,-0.0089991999999999,0.0,-0.0055864,0.1570502999999999,-0.0507002
06_NCL_OsPt_Ir/,implicit,64,-428.54819,8.10999999998785,0.83794086,-0.0008345,-0.0008137999999999,-0.0007645999999999,0.0003029999999999,0.0,0.0116278,0.0166863999999999,0.0211293999999999,-0.0140298999999999,0.0117489,-0.0066201999999999,0.0,0.0085242,-0.0008488,-0.0010328,-0.0001644999999999,0.0041465,0.0,-0.0089979,-0.0073006,-0.007365,-0.0105474,-0.009574,0.0080371,0.0,-0.0009636,0.0939132999999999,-0.0692217
06_NCL_OsPt_Ir/,implicit,65,-428.40336,55.3400000000011,1.06727205666667,-0.0013904999999999,-0.0003048,-0.0008416999999999,-0.0005913,0.0,0.0127642,0.0342839999999999,0.0156242,-0.0133543,0.0258981,0.0023323999999999,0.0,0.0074594,0.0005102999999999,0.0002040999999999,0.0001488,0.0039699,0.0,-0.0043774,-0.0021204999999999,-0.0096937999999999,-0.004017,-0.0091661,0.0023228999999999,0.0,-0.0013623999999999,0.1637591,-0.0471624
06_NCL_OsPt_Ir/,implicit,66,-428.57542,24.7299999999768,0.956390823333333,-0.0007933999999999,-0.0010394,-0.0012098,-0.0006601,0.0,0.0070951999999999,0.0192958,0.0138254,-0.0148098,0.0128474,0.0038291999999999,0.0,0.0134229,-0.0007547999999999,-0.0009461,-9.870000000000018e-05,0.0018074,0.0,-0.0048832,-0.0045284999999999,-0.0042050999999999,-0.0114855999999999,-0.0078605,0.0033470999999999,0.0,-0.0064696,0.1036068,-0.0721553999999999
06_NCL_OsPt_Ir/,implicit,67,-428.6028,35.4099999999562,0.93048117,-0.0006042999999999,-0.0005122,-0.0004761999999999,0.0025482,0.0,0.0190801,0.0208191999999999,0.0186107999999999,-0.0108269,-0.0003565999999999,0.0064467,0.0,0.005288,-0.0012087,-0.0010542999999999,-0.0001619999999999,-0.0019939999999999,0.0,-0.0079966,0.0022461,-0.006169,-0.0075415,-0.0060340999999999,0.0046876,0.0,-0.0021651,0.1200335999999999,-0.0547832
